issue_url,title,body_snippet,lead_mode,numeric_amount,score,prev_score,escrow_verified,is_dead_repo,checked_at,vibe_score,vibe_reason,merges_last_45d,escrows_seen,rugs_seen,total_escrows_seen,has_onchain_escrow,mentions_no_kyc,mentions_wallet_payout,positive_escrow_count,escrow_weight_sum,is_bounty,is_closed
https://github.com/tenstorrent/tt-mlir/issues/7252,stablehlo.broadcast_in_dim,,closed_historical,150.0,51.07,51.07,0,0,1778027662.7199457,0,"This is a technical discussion about a compiler operation, with no mention of rewards or compensation, indicating it's not a bounty.",200,0,0,0,0,0,0,0,0.0,1,1
https://github.com/0xJian21/Pythia/issues/10,,"## Parent  #1 — PRD: Pythia v1  ## What to build  Implement `claim(market, outcome_index)`: burns the caller's full winning-OT ATA balance, transfers `total_market_cap × user_balance / total_winning_supply` USDC to the caller, decrements `total_market_cap`. Handle the no-winner edge case (winning su",strict,,0.0,,1,0,,0,"This is a feature request, not a bug report, and there's no mention of any reward for implementation.",,,,,0,0,0,0,0.0,0,0
https://github.com/danielraffel/pulp/issues/1473,,"_Auto-generated by `.github/workflows/auto-release.yml` on 2026-05-05 22:22 UTC._  **Symptom:** A user-facing fix/feat merged to `main` without an accompanying `chore: bump versions` commit. `auto-release.yml` ran (this run: https://github.com/danielraffel/pulp/actions/runs/25405531828), found no ve",strict,,0.0,,1,0,,0,"This is clearly an automated bot message about a release process, not a request for human intervention or a bounty.",,,,,0,0,0,0,0.0,0,0
https://github.com/Monkestation/Vanderlin/issues/4228,Exotic Silk Belt currently has no mob-based icon state.,## Map: Vanderlin ## Round ID: 3535 ## Client Information: BYOND: 516.1669 Ckey: lilahnovi ## Testmerges: - [Disable distance noises ](https://github.com/Monkestation/Vanderlin/pull/4100) - [Glorp VII: Say but cooler :clueless:](https://github.com/Monkestation/Vanderlin/pull/4167) - [[BOUNTY] Musket,closed_historical,-1.0,44.44,44.44,0,0,1778027663.9313765,0,"This is clearly a bug report for a game, not a security vulnerability, and there's no mention of any reward.",50,0,0,0,0,0,0,0,0.0,0,1
https://github.com/vultisig/vultisig-android/issues/3897,,"<!-- AGENT type: ""refactor"" priority: ""high"" size: ""small"" platform: [android] parent: #3852 base_branch: ""agent/3852-feature"" files:   read:     - ""app/src/main/java/com/vultisig/wallet/ui/models/send/SendFormViewModel.kt""   write:     - ""app/src/main/java/com/vultisig/wallet/ui/models/send/SendFor",strict,,0.0,,1,0,,0,"This is a code refactoring task with no mention of any reward, likely an internal development task or automated bot output.",,,,,0,0,0,0,0.0,0,0
https://github.com/Escelit/stellar-escrow/issues/2,,**Description:** `backend/src/routes/escrow.ts` has a `GET /api/escrow/:id` route that returns `501 Not Implemented`. It contains TODO comments to instantiate `EscrowClient` and call `getEscrow`. This needs to be completed once the contract is deployed (Issue 1).  **Acceptance Criteria:** - [ ] Depe,strict,,0.0,,1,0,,0,"This is a standard development task, not a security vulnerability, and there's no mention of any reward.",,,,,1,0,0,1,2.0,1,0
https://github.com/VeriSphereVSP/docs/issues/199,4.1 - AI Semantic Duplication Detection,Task ID: 4.1 Phase: 4 Description: Detect semantically equivalent claims to prevent duplication. Deliverables: - Embedding service - Similarity scoring - Rejection hints Dependencies: 3.5 Estimated Hours: 220 Start Hour: 1781 End Hour: 2000 Bounty (VSP): 4100000,closed_historical,-1.0,24.43,24.43,0,1,1778027594.290709,100,"The issue explicitly mentions a ""Bounty (VSP): 4100000"", indicating a clear financial reward for the work.",0,0,0,0,0,0,0,0,0.0,0,1
https://github.com/YuriSizuku/OnscripterYuri/issues/2,Word wrapping,"Firstly congratulations! This is the most complete onscripter port anyone has seen in years. I have a single question though?
 Can you add support for wordwrapping?
 It will be a huge help to translate Vns to english.",closed_historical,-1.0,15.88,15.88,0,0,1778027594.2664247,0,"This is a feature request from a user, not a security vulnerability report with any mention of a reward.",1,0,0,0,0,0,0,0,0.0,0,1
https://github.com/Cyfrin/2023-07-escrow/issues/155,,"# Med - Deployment always fail when using token with fees  ### Severity Medium Risk  ### Relevant GitHub Links <a data-meta=""codehawks-github-link"" href=""https://github.com/Cyfrin/2023-07-escrow/blob/fa9f20a273f1e004c1b11985ef0518b2b8ae1b10/src/EscrowFactory.sol#L39"">https://github.com/Cyfrin/2023-0",strict,,0.0,,1,0,,0,"This is a bug report, not a bounty request; there's no mention of any reward or compensation.",,,,,1,0,0,1,2.0,1,0
https://github.com/ringecosystem/degov-registry/issues/90,,"This issue documents the OpenZeppelin Governor compatibility analysis for all DAOs registered in this registry. Each DAO's governor contract was queried on-chain using ERC-165 `supportsInterface`, `COUNTING_MODE()`, `version()`, and other standard IGovernor selectors.  ## Methodology  - **ERC-165**:",strict,,0.0,,1,0,,0,"This is a technical analysis report, not a request for a developer to fix a vulnerability or implement a feature for a reward.",,,,,0,0,0,0,0.0,0,0
