issue_url,title,lead_mode,numeric_amount,score,prev_score,escrow_verified,is_dead_repo,checked_at,vibe_score,vibe_reason,merges_last_45d,escrows_seen,rugs_seen,total_escrows_seen
https://github.com/peteromallet/desloppify/issues/421,,strict,,0.0,,1,0,1778005787.2824078,,,,,,
https://github.com/Clawland-AI/clawland-kits/issues/1,,strict,,0.0,,1,0,1778005787.0569956,,,,,,
https://github.com/ULCproject/ulcproject.github.io/issues/1,,strict,,0.0,,1,0,1778005683.6682208,,,,,,
https://github.com/retrnull/garnet/issues/5,[FEATURE] Please sync fork with upstream ,opportunistic,-1.0,0.0,,0,1,1777757055.6846104,,,0,0,0,0
https://github.com/OpenMind/OM1/issues/366,[Bounty] Smart device communication,strict,0.0,64.85,,1,0,1777752947.6441214,,,64,3,0,3
https://github.com/tinygrad/tinygrad/issues/3039,"Bounty: Fast parallel scan (Mamba, etc). ",strict,500.0,64.76,,1,0,1777752946.6497555,,,200,4,0,4
https://github.com/bolivian-peru/marketplace-service-template/issues/70,[BOUNTY] Trend Intelligence API (Cross-Platform Research) — $100 paid in $SX token,strict,100.0,35.25,,1,0,1777752946.6029124,,,0,3,13,3
https://github.com/stashapp/stash/issues/3875,[Feature] Display embedded subtitles,strict,50.0,54.06,,1,0,1777752944.0146523,,,65,8,4,8
https://github.com/stashapp/stash/issues/3530,[Feature] Support multiple Scenes in a single file,strict,450.0,60.69,,1,0,1777752943.8685496,,,65,8,4,8
https://github.com/graphql-dotnet/graphql-dotnet/issues/1025,Looking for a demo using Schema-First approach,strict,100.0,54.93,,1,0,1777752940.187975,,,12,2,0,2
https://github.com/iglesiasbrandon/dox402/issues/38,Add HD wallet support,strict,-1.0,19.04,,1,0,1777748248.82891,,,6,2,0,2
https://github.com/0xMiden/protocol/issues/2630,Unify asset delta into one,strict,100.0,50.18,,1,0,1777748238.293416,,,95,2,0,2
https://github.com/commaai/opendbc/issues/2017,[$3000 bounty] BYD port,strict,300.0,54.16,,1,0,1777748233.2168627,,,73,2,0,2
https://github.com/arbuthnot-eth/passki/issues/138,Porygon-Z Conversion Beam — sends anywhere → 95% stables + 5% gas,strict,32.0,44.63,,1,0,1777748218.922064,,,43,3,1,3
https://github.com/LittleFingerrr/Griffin/issues/22,GRIFFIN ROADMAP,strict,100.0,47.69,,1,0,1777748211.8158102,,,12,3,0,3
https://github.com/browserbase/stagehand/issues/1950,"Add x402 agent payments: let AI agents pay per browser session autonomously (USDC, no shared credit pools)",strict,-1.0,46.94,,1,0,1777748185.7549536,,,107,3,0,3
https://github.com/duanyytop/ai-market-radar/issues/111,AI Market Radar — 2026-04-29,strict,72.0,40.96,,1,0,1777748184.5451424,,,1,3,0,3
https://github.com/google-agentic-commerce/AP2/issues/207,[Feat]: Cross-merchant budget enforcement for IntentMandates,strict,-1.0,32.97,,1,0,1777748178.5536041,,,6,5,0,5
https://github.com/vercel/ai/issues/13905,Feature: agentpay-mcp integration for AI SDK — x402 payments with human-approval and on-chain spend caps,strict,-1.0,37.1,,1,0,1777748173.3188589,,,200,3,0,3
